"","NAME","state","county","tract","B19013_001E"
"1","Census Tract 103, Allegheny County, Pennsylvania","42","003","010300",22292
"2","Census Tract 201, Allegheny County, Pennsylvania","42","003","020100",72642
"3","Census Tract 203, Allegheny County, Pennsylvania","42","003","020300",93125
"4","Census Tract 305, Allegheny County, Pennsylvania","42","003","030500",18730
"5","Census Tract 402, Allegheny County, Pennsylvania","42","003","040200",16250
"6","Census Tract 404, Allegheny County, Pennsylvania","42","003","040400",24803
"7","Census Tract 405, Allegheny County, Pennsylvania","42","003","040500",17275
"8","Census Tract 406, Allegheny County, Pennsylvania","42","003","040600",19659
"9","Census Tract 409, Allegheny County, Pennsylvania","42","003","040900",21940
"10","Census Tract 501, Allegheny County, Pennsylvania","42","003","050100",19608
"11","Census Tract 506, Allegheny County, Pennsylvania","42","003","050600",36642
"12","Census Tract 509, Allegheny County, Pennsylvania","42","003","050900",14281
"13","Census Tract 510, Allegheny County, Pennsylvania","42","003","051000",16373
"14","Census Tract 511, Allegheny County, Pennsylvania","42","003","051100",20313
"15","Census Tract 603, Allegheny County, Pennsylvania","42","003","060300",51964
"16","Census Tract 605, Allegheny County, Pennsylvania","42","003","060500",36786
"17","Census Tract 703, Allegheny County, Pennsylvania","42","003","070300",56136
"18","Census Tract 705, Allegheny County, Pennsylvania","42","003","070500",50838
"19","Census Tract 706, Allegheny County, Pennsylvania","42","003","070600",48719
"20","Census Tract 708, Allegheny County, Pennsylvania","42","003","070800",50972
"21","Census Tract 709, Allegheny County, Pennsylvania","42","003","070900",30359
"22","Census Tract 802, Allegheny County, Pennsylvania","42","003","080200",40784
"23","Census Tract 804, Allegheny County, Pennsylvania","42","003","080400",32750
"24","Census Tract 806, Allegheny County, Pennsylvania","42","003","080600",55611
"25","Census Tract 807, Allegheny County, Pennsylvania","42","003","080700",35057
"26","Census Tract 809, Allegheny County, Pennsylvania","42","003","080900",51458
"27","Census Tract 901, Allegheny County, Pennsylvania","42","003","090100",52708
"28","Census Tract 902, Allegheny County, Pennsylvania","42","003","090200",53115
"29","Census Tract 903, Allegheny County, Pennsylvania","42","003","090300",37372
"30","Census Tract 1005, Allegheny County, Pennsylvania","42","003","100500",46308
"31","Census Tract 1011, Allegheny County, Pennsylvania","42","003","101100",37500
"32","Census Tract 1014, Allegheny County, Pennsylvania","42","003","101400",50283
"33","Census Tract 1016, Allegheny County, Pennsylvania","42","003","101600",27019
"34","Census Tract 1017, Allegheny County, Pennsylvania","42","003","101700",33494
"35","Census Tract 1018, Allegheny County, Pennsylvania","42","003","101800",57500
"36","Census Tract 1102, Allegheny County, Pennsylvania","42","003","110200",51563
"37","Census Tract 1106, Allegheny County, Pennsylvania","42","003","110600",65104
"38","Census Tract 1113, Allegheny County, Pennsylvania","42","003","111300",37114
"39","Census Tract 1114, Allegheny County, Pennsylvania","42","003","111400",26518
"40","Census Tract 1115, Allegheny County, Pennsylvania","42","003","111500",24073
"41","Census Tract 1203, Allegheny County, Pennsylvania","42","003","120300",29444
"42","Census Tract 1204, Allegheny County, Pennsylvania","42","003","120400",16786
"43","Census Tract 1207, Allegheny County, Pennsylvania","42","003","120700",24083
"44","Census Tract 1208, Allegheny County, Pennsylvania","42","003","120800",26875
"45","Census Tract 1301, Allegheny County, Pennsylvania","42","003","130100",16250
"46","Census Tract 1302, Allegheny County, Pennsylvania","42","003","130200",32650
"47","Census Tract 1303, Allegheny County, Pennsylvania","42","003","130300",16200
"48","Census Tract 1304, Allegheny County, Pennsylvania","42","003","130400",24141
"49","Census Tract 1306, Allegheny County, Pennsylvania","42","003","130600",22465
"50","Census Tract 1401, Allegheny County, Pennsylvania","42","003","140100",164886
"51","Census Tract 1402, Allegheny County, Pennsylvania","42","003","140200",66250
"52","Census Tract 1403, Allegheny County, Pennsylvania","42","003","140300",106175
"53","Census Tract 1404, Allegheny County, Pennsylvania","42","003","140400",129432
"54","Census Tract 1405, Allegheny County, Pennsylvania","42","003","140500",58405
"55","Census Tract 1406, Allegheny County, Pennsylvania","42","003","140600",75982
"56","Census Tract 1408, Allegheny County, Pennsylvania","42","003","140800",70231
"57","Census Tract 1410, Allegheny County, Pennsylvania","42","003","141000",67188
"58","Census Tract 1411, Allegheny County, Pennsylvania","42","003","141100",65313
"59","Census Tract 1413, Allegheny County, Pennsylvania","42","003","141300",46414
"60","Census Tract 1414, Allegheny County, Pennsylvania","42","003","141400",64970
"61","Census Tract 1516, Allegheny County, Pennsylvania","42","003","151600",64236
"62","Census Tract 1517, Allegheny County, Pennsylvania","42","003","151700",62329
"63","Census Tract 1608, Allegheny County, Pennsylvania","42","003","160800",44878
"64","Census Tract 1609, Allegheny County, Pennsylvania","42","003","160900",53992
"65","Census Tract 1702, Allegheny County, Pennsylvania","42","003","170200",48837
"66","Census Tract 1706, Allegheny County, Pennsylvania","42","003","170600",45508
"67","Census Tract 1803, Allegheny County, Pennsylvania","42","003","180300",27656
"68","Census Tract 1807, Allegheny County, Pennsylvania","42","003","180700",38576
"69","Census Tract 1903, Allegheny County, Pennsylvania","42","003","190300",68558
"70","Census Tract 1911, Allegheny County, Pennsylvania","42","003","191100",62036
"71","Census Tract 1914, Allegheny County, Pennsylvania","42","003","191400",44792
"72","Census Tract 1915, Allegheny County, Pennsylvania","42","003","191500",37301
"73","Census Tract 1916, Allegheny County, Pennsylvania","42","003","191600",49556
"74","Census Tract 1917, Allegheny County, Pennsylvania","42","003","191700",52667
"75","Census Tract 1918, Allegheny County, Pennsylvania","42","003","191800",56364
"76","Census Tract 1919, Allegheny County, Pennsylvania","42","003","191900",50568
"77","Census Tract 1920, Allegheny County, Pennsylvania","42","003","192000",45441
"78","Census Tract 2022, Allegheny County, Pennsylvania","42","003","202200",43750
"79","Census Tract 2023, Allegheny County, Pennsylvania","42","003","202300",60820
"80","Census Tract 2107, Allegheny County, Pennsylvania","42","003","210700",40711
"81","Census Tract 2206, Allegheny County, Pennsylvania","42","003","220600",41076
"82","Census Tract 2406, Allegheny County, Pennsylvania","42","003","240600",44028
"83","Census Tract 2412, Allegheny County, Pennsylvania","42","003","241200",31314
"84","Census Tract 2503, Allegheny County, Pennsylvania","42","003","250300",39500
"85","Census Tract 2507, Allegheny County, Pennsylvania","42","003","250700",20000
"86","Census Tract 2509, Allegheny County, Pennsylvania","42","003","250900",26332
"87","Census Tract 2602, Allegheny County, Pennsylvania","42","003","260200",45075
"88","Census Tract 2607, Allegheny County, Pennsylvania","42","003","260700",52500
"89","Census Tract 2609, Allegheny County, Pennsylvania","42","003","260900",12742
"90","Census Tract 2612, Allegheny County, Pennsylvania","42","003","261200",65000
"91","Census Tract 2614, Allegheny County, Pennsylvania","42","003","261400",30366
"92","Census Tract 2615, Allegheny County, Pennsylvania","42","003","261500",32768
"93","Census Tract 2620, Allegheny County, Pennsylvania","42","003","262000",26339
"94","Census Tract 2701, Allegheny County, Pennsylvania","42","003","270100",52931
"95","Census Tract 2703, Allegheny County, Pennsylvania","42","003","270300",38393
"96","Census Tract 2704, Allegheny County, Pennsylvania","42","003","270400",41087
"97","Census Tract 2708, Allegheny County, Pennsylvania","42","003","270800",65709
"98","Census Tract 2715, Allegheny County, Pennsylvania","42","003","271500",36364
"99","Census Tract 2814, Allegheny County, Pennsylvania","42","003","281400",35417
"100","Census Tract 2815, Allegheny County, Pennsylvania","42","003","281500",49405
"101","Census Tract 2901, Allegheny County, Pennsylvania","42","003","290100",34840
"102","Census Tract 2902, Allegheny County, Pennsylvania","42","003","290200",38264
"103","Census Tract 2904, Allegheny County, Pennsylvania","42","003","290400",42708
"104","Census Tract 3001, Allegheny County, Pennsylvania","42","003","300100",30426
"105","Census Tract 3102, Allegheny County, Pennsylvania","42","003","310200",47554
"106","Census Tract 3103, Allegheny County, Pennsylvania","42","003","310300",70221
"107","Census Tract 3204, Allegheny County, Pennsylvania","42","003","320400",45203
"108","Census Tract 3206, Allegheny County, Pennsylvania","42","003","320600",51383
"109","Census Tract 3207, Allegheny County, Pennsylvania","42","003","320700",47891
"110","Census Tract 4011, Allegheny County, Pennsylvania","42","003","401100",55154
"111","Census Tract 4012, Allegheny County, Pennsylvania","42","003","401200",30556
"112","Census Tract 4013, Allegheny County, Pennsylvania","42","003","401300",65175
"113","Census Tract 4020, Allegheny County, Pennsylvania","42","003","402000",40753
"114","Census Tract 4035, Allegheny County, Pennsylvania","42","003","403500",33026
"115","Census Tract 4040, Allegheny County, Pennsylvania","42","003","404000",48158
"116","Census Tract 4050, Allegheny County, Pennsylvania","42","003","405000",56058
"117","Census Tract 4060, Allegheny County, Pennsylvania","42","003","406000",59112
"118","Census Tract 4070.01, Allegheny County, Pennsylvania","42","003","407001",53445
"119","Census Tract 4070.02, Allegheny County, Pennsylvania","42","003","407002",67104
"120","Census Tract 4080.01, Allegheny County, Pennsylvania","42","003","408001",77684
"121","Census Tract 4080.02, Allegheny County, Pennsylvania","42","003","408002",98074
"122","Census Tract 4090, Allegheny County, Pennsylvania","42","003","409000",131484
"123","Census Tract 4100, Allegheny County, Pennsylvania","42","003","410000",103750
"124","Census Tract 4110, Allegheny County, Pennsylvania","42","003","411000",114917
"125","Census Tract 4120.01, Allegheny County, Pennsylvania","42","003","412001",115756
"126","Census Tract 4120.02, Allegheny County, Pennsylvania","42","003","412002",133884
"127","Census Tract 4131, Allegheny County, Pennsylvania","42","003","413100",104085
"128","Census Tract 4132.01, Allegheny County, Pennsylvania","42","003","413201",73750
"129","Census Tract 4132.02, Allegheny County, Pennsylvania","42","003","413202",71000
"130","Census Tract 4133, Allegheny County, Pennsylvania","42","003","413300",76932
"131","Census Tract 4134, Allegheny County, Pennsylvania","42","003","413400",88173
"132","Census Tract 4135, Allegheny County, Pennsylvania","42","003","413500",61416
"133","Census Tract 4141.01, Allegheny County, Pennsylvania","42","003","414101",89698
"134","Census Tract 4141.02, Allegheny County, Pennsylvania","42","003","414102",84184
"135","Census Tract 4142, Allegheny County, Pennsylvania","42","003","414200",73043
"136","Census Tract 4150.01, Allegheny County, Pennsylvania","42","003","415001",87596
"137","Census Tract 4150.02, Allegheny County, Pennsylvania","42","003","415002",92250
"138","Census Tract 4160, Allegheny County, Pennsylvania","42","003","416000",48750
"139","Census Tract 4171, Allegheny County, Pennsylvania","42","003","417100",53365
"140","Census Tract 4172, Allegheny County, Pennsylvania","42","003","417200",34055
"141","Census Tract 4180, Allegheny County, Pennsylvania","42","003","418000",55321
"142","Census Tract 4190, Allegheny County, Pennsylvania","42","003","419000",49643
"143","Census Tract 4200, Allegheny County, Pennsylvania","42","003","420000",39929
"144","Census Tract 4211, Allegheny County, Pennsylvania","42","003","421100",72450
"145","Census Tract 4212, Allegheny County, Pennsylvania","42","003","421200",92051
"146","Census Tract 4220, Allegheny County, Pennsylvania","42","003","422000",148553
"147","Census Tract 4230, Allegheny County, Pennsylvania","42","003","423000",66108
"148","Census Tract 4240, Allegheny County, Pennsylvania","42","003","424000",32431
"149","Census Tract 4250, Allegheny County, Pennsylvania","42","003","425000",44615
"150","Census Tract 4263, Allegheny County, Pennsylvania","42","003","426300",77057
"151","Census Tract 4264, Allegheny County, Pennsylvania","42","003","426400",61680
"152","Census Tract 4267, Allegheny County, Pennsylvania","42","003","426700",57885
"153","Census Tract 4268, Allegheny County, Pennsylvania","42","003","426800",79491
"154","Census Tract 4270, Allegheny County, Pennsylvania","42","003","427000",35496
"155","Census Tract 4271, Allegheny County, Pennsylvania","42","003","427100",78393
"156","Census Tract 4272, Allegheny County, Pennsylvania","42","003","427200",51315
"157","Census Tract 4281, Allegheny County, Pennsylvania","42","003","428100",54712
"158","Census Tract 4282, Allegheny County, Pennsylvania","42","003","428200",65000
"159","Census Tract 4291, Allegheny County, Pennsylvania","42","003","429100",68244
"160","Census Tract 4292.01, Allegheny County, Pennsylvania","42","003","429201",81033
"161","Census Tract 4292.02, Allegheny County, Pennsylvania","42","003","429202",72861
"162","Census Tract 4293, Allegheny County, Pennsylvania","42","003","429300",71890
"163","Census Tract 4294, Allegheny County, Pennsylvania","42","003","429400",68780
"164","Census Tract 4295, Allegheny County, Pennsylvania","42","003","429500",60506
"165","Census Tract 4296, Allegheny County, Pennsylvania","42","003","429600",58423
"166","Census Tract 4297, Allegheny County, Pennsylvania","42","003","429700",46071
"167","Census Tract 4301, Allegheny County, Pennsylvania","42","003","430100",54625
"168","Census Tract 4302, Allegheny County, Pennsylvania","42","003","430200",58218
"169","Census Tract 4311, Allegheny County, Pennsylvania","42","003","431100",41118
"170","Census Tract 4314, Allegheny County, Pennsylvania","42","003","431400",45882
"171","Census Tract 4315, Allegheny County, Pennsylvania","42","003","431500",38079
"172","Census Tract 4323, Allegheny County, Pennsylvania","42","003","432300",39265
"173","Census Tract 4324, Allegheny County, Pennsylvania","42","003","432400",39720
"174","Census Tract 4340, Allegheny County, Pennsylvania","42","003","434000",91250
"175","Census Tract 4350, Allegheny County, Pennsylvania","42","003","435000",55399
"176","Census Tract 4370, Allegheny County, Pennsylvania","42","003","437000",105919
"177","Census Tract 4390, Allegheny County, Pennsylvania","42","003","439000",92083
"178","Census Tract 4455, Allegheny County, Pennsylvania","42","003","445500",69625
"179","Census Tract 4460, Allegheny County, Pennsylvania","42","003","446000",154545
"180","Census Tract 4470, Allegheny County, Pennsylvania","42","003","447000",80192
"181","Census Tract 4480, Allegheny County, Pennsylvania","42","003","448000",46389
"182","Census Tract 4490, Allegheny County, Pennsylvania","42","003","449000",65179
"183","Census Tract 4507, Allegheny County, Pennsylvania","42","003","450700",42585
"184","Census Tract 4508, Allegheny County, Pennsylvania","42","003","450800",35722
"185","Census Tract 4511.01, Allegheny County, Pennsylvania","42","003","451101",81771
"186","Census Tract 4511.02, Allegheny County, Pennsylvania","42","003","451102",56375
"187","Census Tract 4511.04, Allegheny County, Pennsylvania","42","003","451104",103088
"188","Census Tract 4511.05, Allegheny County, Pennsylvania","42","003","451105",55081
"189","Census Tract 4513, Allegheny County, Pennsylvania","42","003","451300",106567
"190","Census Tract 4520, Allegheny County, Pennsylvania","42","003","452000",75968
"191","Census Tract 4530.03, Allegheny County, Pennsylvania","42","003","453003",57375
"192","Census Tract 4530.04, Allegheny County, Pennsylvania","42","003","453004",75297
"193","Census Tract 4550, Allegheny County, Pennsylvania","42","003","455000",58618
"194","Census Tract 4560.01, Allegheny County, Pennsylvania","42","003","456001",80050
"195","Census Tract 4560.03, Allegheny County, Pennsylvania","42","003","456003",94356
"196","Census Tract 4560.04, Allegheny County, Pennsylvania","42","003","456004",60740
"197","Census Tract 4571, Allegheny County, Pennsylvania","42","003","457100",40878
"198","Census Tract 4572, Allegheny County, Pennsylvania","42","003","457200",49545
"199","Census Tract 4580, Allegheny County, Pennsylvania","42","003","458000",68542
"200","Census Tract 4591.01, Allegheny County, Pennsylvania","42","003","459101",65000
"201","Census Tract 4591.02, Allegheny County, Pennsylvania","42","003","459102",93135
"202","Census Tract 4592.01, Allegheny County, Pennsylvania","42","003","459201",77388
